Z,N,symb, half_life [s], decay, decay %, decay, decay %, decay, decay %,Binding/A
35,55,Br,1.91,B-,100,B-N,25.2, , ,8478.186
35,56,Br,0.543,B-,100,B-N,19.5, , ,8441.923
35,57,Br,0.314,B-,100,B-N,33.1, , ,8384.911
35,58,Br,0.102,B-,100,B-N,68, , ,8345.598
35,59,Br,0.07,B-,100,B-N,68, , ,8284
35,60,Br,0.00000015,B-,100,B-N,34, , ,8244
35,61,Br,0.00000015,B-,100,B-N,27.6, , ,8184
35,62,Br,0.0000003,B-, , , , , ,8140
35,63,BR,0.000000634,B-2N, ,B-, ,B-N, ,8080
36,33,Kr,0.028,EC+B+,100,B+P,99, , ,8133
36,34,Kr,0.04,EC+B+,100,ECP,1.3, , ,8256
36,35,Kr,0.1,EC+B+,100,ECP,2.1, , ,8327.13
36,36,Kr,17.1,EC+B+,100,ECP,0.000001, , ,8429.319
36,37,Kr,27.3,EC+B+,100,ECP,0.25, , ,8460.184
36,38,Kr,690,EC+B+,100, , , , ,8533.038
36,39,Kr,276,EC+B+,100, , , , ,8553.439
36,40,Kr,53280,EC+B+,100, , , , ,8608.807
36,41,Kr,4464,EC+B+,100, , , , ,8616.836
36,42,Kr, , , , , , , ,8661.238
36,43,Kr,126144,EC+B+,100, , , , ,8657.112
36,44,Kr, , , , , , , ,8692.928
36,45,Kr,7226536048181.57,EC,100, , , , ,8682.82
36,46,Kr, , , , , , , ,8710.675
36,47,Kr, , , , , , , ,8695.729
36,48,Kr, , , , , , , ,8717.446
36,49,Kr,338889828.041144,B-,100, , , , ,8698.562
36,50,Kr, , , , , , , ,8712.029
36,51,Kr,4578,B-,100, , , , ,8675.283
36,52,Kr,10170,B-,100, , , , ,8656.849
36,53,Kr,189,B-,100, , , , ,8614.815
36,54,Kr,32.32,B-,100, , , , ,8591.259
36,55,Kr,8.57,B-,100, , , , ,8541.751
36,56,Kr,1.84,B-,100,B-N,0.0332, , ,8512.674
36,57,Kr,1.286,B-,100,B-N,1.95, , ,8458.108
36,58,Kr,0.212,B-,100,B-N,1.11, , ,8424.331
36,59,Kr,0.114,B-,100,B-N,2.87, , ,8365.995
36,60,Kr,0.08,B-,100,B-N,3.7, , ,8330.851
36,61,KR,0.063,B-,100,B-N,6.7, , ,8269.864
36,62,Kr,0.046,B-N,7,B-, , , ,8236
36,63,Kr,0.013,B-,100,B-N,11, , ,8178
36,64,Kr,0.007,B-,100,B-N, , , ,8140
36,65,KR,0.000000635,B-2N, ,B-N, ,B-, ,8081
37,36,Rb,0.00000003,P,0,EC+B+, , , ,8306
37,37,Rb,0.064776,EC+B+,100, , , , ,8381.712
37,38,Rb,19,EC+B+,100, , , , ,8448.275
37,39,Rb,36.5,EC+B+,100,ECA,0.00000038, , ,8486.215
37,40,Rb,226.8,EC+B+,100, , , , ,8537.339
37,41,Rb,1059.6,EC+B+,100, , , , ,8558.35
37,42,Rb,1374,EC+B+,100, , , , ,8601.142
37,43,Rb,33.4,EC+B+,100, , , , ,8611.675
37,44,Rb,16459.2,EC+B+,100, , , , ,8645.513
37,45,Rb,75.45,EC+B+,100, , , , ,8647.427
37,46,Rb,7447680,EC,100, , , , ,8675.218
37,47,Rb,2835648,EC+B+,96.1,B-,3.9, , ,8676.224
37,48,Rb, , , , , , , ,8697.441
37,49,Rb,1610668.8,B-,99.9948,EC,0.0052, , ,8696.901
37,50,Rb,1.56837922093722E+018,B-,100, , , , ,8710.983
37,51,Rb,1066.38,B-,100, , , , ,8681.115
37,52,Rb,919.2,B-,100, , , , ,8664.189
37,53,Rb,158,B-,100, , , , ,8631.512
37,54,Rb,58.2,B-,100, , , , ,8607.561
37,55,Rb,4.48,B-,100,B-N,0.0107, , ,8569.422
37,56,Rb,5.84,B-,100,B-N,1.39, , ,8540.92
37,57,Rb,2.702,B-,100,B-N,10.5, , ,8492.764
37,58,Rb,0.3777,B-,100,B-N,8.7, , ,8460.208
37,59,Rb,0.203,B-,100,B-N,13.3, , ,8408.896
37,60,Rb,0.1691,B-,100,B-N,25.5,B-2N, ,8376.186
37,61,Rb,0.114,B-,100,B-N,13.8,B-2N,0.051,8330.729
37,62,Rb,0.054,B-,100,B-N,19.8,B-2N, ,8295.3
37,63,Rb,0.051,B-,100,B-N,6,B-2N,0.16,8244.32
37,64,Rb,0.032,B-,100,B-N,28, , ,8209
37,65,RB,0.037,B-,100,B-N,18, , ,8157
37,66,RB,0.023,B-,100,B-2N, ,B-N, ,8117
38,35,Sr,0.025,EC+B+,100,ECP,0, , ,8102
38,36,Sr,0.027,EC+B+,100,ECP, , , ,8221
38,37,Sr,0.088,EC+B+,100,ECP,5.2, , ,8296.511
38,38,Sr,7.89,EC+B+,100,ECP,0.000034, , ,8393.929
38,39,Sr,9,EC+B+,100,ECP,0.08, , ,8435.918
38,40,Sr,160,EC+B+,100, , , , ,8500.096
38,41,Sr,135,EC+B+,100, , , , ,8523.82
38,42,Sr,6378,EC+B+,100, , , , ,8578.596
38,43,Sr,1338,EC+B+,100, , , , ,8587.354
38,44,Sr,2190240,EC,100, , , , ,8635.718
38,45,Sr,116676,EC+B+,100, , , , ,8638.407
38,46,Sr, , , , , , , ,8677.512
38,47,Sr,5602953.6,EC,100, , , , ,8675.718
38,48,Sr, , , , , , , ,8708.456
38,49,Sr, , , , , , , ,8705.236
38,50,Sr, , , , , , , ,8732.595
38,51,Sr,4368643.2,B-,100, , , , ,8705.922
38,52,Sr,908523898.808504,B-,100, , , , ,8695.972
38,53,Sr,34740,B-,100, , , , ,8663.875
38,54,Sr,9399.6,B-,100, , , , ,8648.906
38,55,Sr,445.8,B-,100, , , , ,8612.787
38,56,Sr,75.3,B-,100, , , , ,8593.834
38,57,Sr,23.9,B-,100, , , , ,8549.111
38,58,Sr,1.07,B-,100, , , , ,8521.265
38,59,Sr,0.429,B-,100,B-N,0.05, , ,8471.856
38,60,Sr,0.653,B-,100,B-N,0.25, , ,8445.745
38,61,Sr,0.269,B-,100,B-N,0.1, , ,8402.552
38,62,Sr,0.202,B-,100,B-N,0.78, , ,8372.234
38,63,Sr,0.118,B-,100,B-N,2.37, , ,8324.74
38,64,Sr,0.069,B-,100,B-N,5.5, , ,8291.22
38,65,Sr,0.053,B-,100,B-2N, ,B-N, ,8243
38,66,Sr,0.053,B-,100,B-2N, ,B-N, ,8210
38,67,Sr,0.039,B-,100,B-2N, ,B-N, ,8156
38,68,SR,0.02,B-,100,B-2N, ,B-N, ,8119
38,69,SR,0.000000395,B-2N, ,B-N, ,B-, ,8064
39,37,Y,0.0000002,P, ,EC+B+, , , ,8176
39,38,Y,0.057,EC+B+,100,P, ,ECP, ,8278
39,39,Y,0.053,EC+B+,100,ECP, , , ,8349
39,40,Y,14.8,EC+B+,100,ECP, , , ,8416.967
39,41,Y,30.1,EC+B+,100,ECP, , , ,8454.275
39,42,Y,70.4,EC+B+,100, , , , ,8505.902
39,43,Y,8.3,EC+B+,100, , , , ,8529.275
39,44,Y,424.8,EC+B+,100, , , , ,8573.656
39,45,Y,2370,EC+B+,100, , , , ,8587.78
39,46,Y,9648,EC+B+,100, , , , ,8628.148
39,47,Y,53064,EC+B+,100, , , , ,8638.428
39,48,Y,287280,EC+B+,100, , , , ,8674.844
39,49,Y,9212486.4,EC+B+,100, , , , ,8682.539
39,50,Y, , , , , , , ,8713.978
39,51,Y,230400,B-,100, , , , ,8693.345
39,52,Y,5055264,B-,100, , , , ,8684.941
39,53,Y,12744,B-,100, , , , ,8661.589
39,54,Y,36648,B-,100, , , , ,8648.905
39,55,Y,1122,B-,100, , , , ,8622.806
39,56,Y,618,B-,100, , , , ,8604.973
39,57,Y,5.34,B-,100, , , , ,8569.488
39,58,Y,3.75,B-,100,B-N,0.055, , ,8541.522
39,59,Y,0.548,B-,100,B-N,0.331, , ,8497.677
39,60,Y,1.484,B-,100,B-N,1.77, , ,8476.755
39,61,Y,0.735,B-,100,B-N,0.92, , ,8439.476
39,62,Y,0.45,B-,100,B-N,1.94, , ,8413.391
39,63,Y,0.36,B-,100,B-N,4.9, , ,8371.922
39,64,Y,0.23,B-,100,B-N,8, , ,8342.638
39,65,Y,0.197,B-,100,B-N,34,B-2N, ,8298
39,66,Y,0.095,B-,100,B-N,82,B-2N, ,8269.02
39,67,Y,0.079,B-,100,B-2N, ,B-N, ,8218
39,68,Y,0.0335,B-,100,B-2N, ,B-N, ,8182
39,69,Y,0.03,B-,100,B-2N, ,B-N, ,8134
39,70,Y,0.025,B-,100, , , , ,8096
40,38,Zr,0.00000017,EC+B+, , , , , ,8194
40,39,Zr,0.056,EC+B+,100,ECP, , , ,8267
40,40,Zr,4.6,EC+B+,100,ECP, , , ,8360
40,41,Zr,5.5,EC+B+,100,ECP,0.12, , ,8394.358
40,42,Zr,32,EC+B+,100, , , , ,8465.676
40,43,Zr,42,EC+B+,100,ECP, , , ,8488.399
40,44,Zr,1548,EC+B+,100, , , , ,8549.029
40,45,Zr,471.6,EC+B+,100, , , , ,8564.039
40,46,Zr,59400,EC+B+,100, , , , ,8614.051
40,47,Zr,6048,EC+B+,100, , , , ,8623.654
40,48,Zr,7205760,EC,100, , , , ,8666.033
40,49,Zr,282276,EC+B+,100, , , , ,8673.359
40,50,Zr, , , , , , , ,8709.969
40,51,Zr, , , , , , , ,8693.314
40,52,Zr, , , , , , , ,8692.678
40,53,Zr,50806650819093.1,B-,100, , , , ,8671.62
40,54,Zr, , , , , , , ,8666.801
40,55,Zr,5532364.8,B-,100, , , , ,8643.592
40,56,Zr,6.3113851949184E+026,2B-, , , , , ,8635.327
40,57,Zr,60296.4,B-,100, , , , ,8603.779
40,58,Zr,30.7,B-,100, , , , ,8581.448
40,59,Zr,2.1,B-,100, , , , ,8539.264
40,60,Zr,7.1,B-,100, , , , ,8522.153
40,61,Zr,2.3,B-,100, , , , ,8485.892
40,62,Zr,2.9,B-,100, , , , ,8466.355
40,63,Zr,1.3,B-,100, , , , ,8425.895
40,64,Zr,1.2,B-,100, , , , ,8402.377
40,65,Zr,0.67,B-,100,B-N,2, , ,8358.659
40,66,Zr,0.18,B-,100,B-N,7, , ,8328.45
40,67,Zr,0.146,B-,100,B-N,23, , ,8287.073
40,68,Zr,0.0774,B-,100,B-N, , , ,8257
40,69,Zr,0.056,B-,100, , , , ,8208
40,70,Zr,0.0375,B-,100,B-2N, ,B-N, ,8177
40,71,ZR,0.024,B-,100,B-2N, ,B-N, ,8128
40,72,ZR,0.03,B-,100,B-2N, ,B-N, ,8094
41,40,Nb,0.0000002,EC+B+, , , , , ,8248
41,41,Nb,0.05,EC+B+,100,ECP, , , ,8315
41,42,Nb,3.9,EC+B+,100, , , , ,8378.304
41,43,Nb,9.8,EC+B+,100,ECP, , , ,8418.252
41,44,Nb,20.5,EC+B+,100, , , , ,8473.711
41,45,Nb,88,EC+B+,100, , , , ,8502.222
41,46,Nb,222,EC+B+,100, , , , ,8551.757
41,47,Nb,870,EC+B+,100, , , , ,8572.424
41,48,Nb,7308,EC+B+,100, , , , ,8616.812
41,49,Nb,52560,EC+B+,100, , , , ,8633.376
41,50,Nb,21458709662.7226,EC+B+,100, , , , ,8670.897
41,51,Nb,1.09502533131834E+015,EC+B+,100, , , , ,8662.372
41,52,Nb, , , , , , , ,8664.184
41,53,Nb,640605597284.218,B-,100, , , , ,8648.901
41,54,Nb,3023222.4,B-,100, , , , ,8647.212
41,55,Nb,84060,B-,100, , , , ,8628.886
41,56,Nb,4326,B-,100, , , , ,8623.168
41,57,Nb,2.86,B-,100, , , , ,8596.301
41,58,Nb,15,B-,100, , , , ,8578.985
41,59,Nb,1.5,B-,100, , , , ,8548.529
41,60,Nb,7.1,B-,100, , , , ,8534.835
41,61,Nb,4.3,B-,100, , , , ,8504.928
41,62,Nb,1.5,B-,100, , , , ,8488.331
41,63,Nb,4.9,B-,100,B-N,0.06, , ,8453.459
41,64,Nb,2.95,B-,100,B-N,1.7, , ,8431.692
41,65,Nb,1.02,B-,100,B-N,4.5, , ,8393.271
41,66,Nb,0.3,B-,100, , , , ,8367.089
41,67,Nb,0.198,B-,100,B-N,6.3,B-2N, ,8325.665
41,68,Nb,0.108,B-,100,B-N,15, , ,8297.13
41,69,Nb,0.082,B-,100,B-N,40, , ,8255.26
41,70,Nb,0.054,B-,100,B-2N, ,B-N, ,8223
41,71,Nb,0.033,B-,100, , , , ,8180
41,72,Nb,0.032,B-,100,B-2N, ,B-N, ,8146
41,73,NB,0.017,B-,100,B-2N, ,B-N, ,8100
41,74,Nb,0.023,B-,100,B-2N, ,B-N, ,8065
42,39,Mo,0.00000045,EC+B+, ,ECP, , , ,8058
42,40,Mo,0.000000437,EC+B+, ,ECP, , , ,8163
42,41,Mo,0.006,EC+B+,100, , , , ,8234
42,42,Mo,2.3,EC+B+,100,ECP, , , ,8325
42,43,Mo,3.2,EC+B+,100,ECP,0.14, , ,8361.331
42,44,Mo,19.1,EC+B+,100, , , , ,8434.709
42,45,Mo,14.1,EC+B+,100,B+P,15, , ,8462.424
42,46,Mo,480,EC+B+,100, , , , ,8523.908
42,47,Mo,126.6,EC+B+,100, , , , ,8544.984
42,48,Mo,20016,EC+B+,100, , , , ,8597.028
42,49,Mo,929.4,EC+B+,100, , , , ,8613.628
42,50,Mo, , , , , , , ,8657.73
42,51,Mo,126227703898.368,EC,100, , , , ,8651.409
42,52,Mo, , , , , , , ,8662.333
42,53,Mo, , , , , , , ,8648.72
42,54,Mo, , , , , , , ,8653.987
42,55,Mo, , , , , , , ,8635.092
42,56,Mo, , , , , , , ,8635.168
42,57,Mo,237326.4,B-,100, , , , ,8607.797
42,58,Mo,2.30365559614522E+026,2B-,100,2B-,100, , ,8604.662
42,59,Mo,876.6,B-,100, , , , ,8572.915
42,60,Mo,678,B-,100, , , , ,8568.45
42,61,Mo,67.5,B-,100, , , , ,8538.328
42,62,Mo,60,B-,100, , , , ,8527.965
42,63,Mo,35.6,B-,100, , , , ,8494.923
42,64,Mo,8.73,B-,100, , , , ,8479.581
42,65,Mo,3.5,B-,100, , , , ,8442.28
42,66,Mo,1.09,B-,100, , , , ,8422.219
42,67,Mo,0.61,B-,100,B-N,1.3, , ,8381.477
42,68,Mo,0.296,B-,100,B-N,2, , ,8359.354
42,69,Mo,0.186,B-,100,B-N,12, , ,8315.292
42,70,Mo,0.12,B-,100, , , , ,8291
42,71,Mo,0.08,B-,100,B-N, , , ,8245
42,72,Mo,0.058,B-,100,B-N, , , ,8220
42,73,Mo,0.0455,B-,100,B-2N, ,B-N, ,8175
42,74,MO,0.032,B-2N, ,B-N, ,B-, ,8146
42,75,MO,0.022,B-2N, ,B-N, ,B-, ,8100
42,76,Mo,0.019,B-,100,B-2N, ,B-N, ,8069
43,42,Tc,0.0000001,P, , , , , ,8215
43,43,Tc,0.055,EC+B+,100,ECP, , , ,8280
43,44,Tc,2.2,EC+B+,100, , , , ,8347.744
43,45,Tc,6.4,EC+B+,100,ECP, , , ,8389.958
43,46,Tc,12.8,EC+B+,100, , , , ,8450.575
43,47,Tc, , , , , , , ,8483.359
43,48,Tc,188.4,EC+B+,100, , , , ,8536.655
43,49,Tc,255,EC+B+,100, , , , ,8563.543
43,50,Tc,9900,EC+B+,100, , , , ,8608.577
43,51,Tc,17580,EC+B+,100, , , , ,8608.736
43,52,Tc,72000,EC+B+,100, , , , ,8622.69
43,53,Tc,369792,EC+B+,100, , , , ,8614.866
43,54,Tc,132854658353032,EC,100, , , , ,8623.725
43,55,Tc,132539089093286,B-,100, , , , ,8610.004
43,56,Tc,6661667073236.37,B-,100, , , , ,8613.61
43,57,Tc,15.46,B-,99.9982,EC,0.0018, , ,8595.118
43,58,Tc,853.2,B-,100, , , , ,8593.136
43,59,Tc,5.28,B-,100, , , , ,8570.65
43,60,Tc,54.2,B-,100, , , , ,8566.103
43,61,Tc,1098,B-,100, , , , ,8541.149
43,62,Tc,456,B-,100, , , , ,8534.643
43,63,Tc,35.6,B-,100, , , , ,8506.556
43,64,Tc,21.2,B-,100, , , , ,8492.897
43,65,Tc,5.17,B-,100, , , , ,8462.816
43,66,Tc,0.91,B-,100,B-N,0.08, , ,8444.178
43,67,Tc,0.9,B-,100,B-N,0.04, , ,8411.259
43,68,Tc,0.29,B-,100,B-N,0.85, , ,8390.089
43,69,Tc,0.271,B-,100,B-N,1.5, , ,8353.621
43,70,Tc,0.152,B-,100,B-N,2.1, , ,8329.464
43,71,Tc,0.1,B-,100,B-N, , , ,8290.259
43,72,Tc,0.078,B-,100,B-N, , , ,8268.527
43,73,Tc,0.057,B-,100,B-2N, ,B-N, ,8225
43,74,Tc,0.0445,B-,100,B-2N, ,B-N, ,8197
43,75,Tc,0.03,B-,100,B-2N, ,B-N, ,8157
43,76,TC,0.022,B-,100,B-2N, ,B-N, ,8128
43,77,TC,0.021,B-,100,B-2N, ,B-N, ,8087
43,78,Tc,0.022,B-,100,B-2N, ,B-N, ,8056
44,41,Ru,0.00000045,P, ,ECP, ,EC+B+, ,8030
44,42,Ru,0.000000438,EC+B+, ,ECP, , , ,8133
44,44,Ru,1.2,EC+B+,100,ECP, , , ,8298
44,45,Ru,1.5,EC+B+,100,ECP,3, , ,8339
44,46,Ru,11,EC+B+,100, , , , ,8409.768
44,47,Ru,8,EC+B+,100, , , , ,8442.928
44,48,Ru,219,EC+B+,100, , , , ,8504.773
44,49,Ru,59.7,EC+B+,100, , , , ,8531.462
44,50,Ru,3108,B++EC,100,EC,100, , ,8583.661
44,51,Ru,5914.8,EC+B+,100, , , , ,8587.47
44,52,Ru, , , , , , , ,8609.412
44,53,Ru,244512,EC+B+,100, , , , ,8604.279
44,54,Ru, , , , , , , ,8620.313
44,55,Ru, , , , , , , ,8608.712
44,56,Ru, , , , , , , ,8619.359
44,57,Ru, , , , , , , ,8601.365
44,58,Ru, , , , , , , ,8607.427
44,59,Ru,3390940.8,B-,100, , , , ,8584.365
44,60,Ru, , , , , , , ,8587.399
44,61,Ru,15984,B-,100, , , , ,8561.9
44,62,Ru,32123520,B-,100, , , , ,8560.94
44,63,Ru,225,B-,100, , , , ,8533.366
44,64,Ru,273,B-,100, , , , ,8527.225
44,65,Ru,34.4,B-,100, , , , ,8496.227
44,66,Ru,12.04,B-,100, , , , ,8486.311
44,67,Ru,2.12,B-,100, , , , ,8452.957
44,68,Ru,1.75,B-,100, , , , ,8439.242
44,69,Ru,0.8,B-,100, , , , ,8402.688
44,70,Ru,0.54,B-,100, , , , ,8385.34
44,71,Ru,0.318,B-,100,B-N, , , ,8347.547
44,72,Ru,0.204,B-,100,B-N, , , ,8326.883
44,73,Ru,0.151,B-,100,B-N, , , ,8285.562
44,74,Ru,0.099,B-,100,B-N, , , ,8265
44,75,Ru,0.0695,B-,100,B-N, ,B-2N, ,8224
44,76,Ru,0.045,B-,100,B-N, , , ,8201
44,77,RU,0.029,B-,100,B-2N, ,B-N, ,8159
44,78,RU,0.025,B-,100,B-2N, ,B-N, ,8135
44,79,RU,0.019,B-,100,B-2N, ,B-N, ,8093
44,80,RU,0.015,B-,100,B-2N, ,B-N, ,8068
45,44,Rh,0.00000012,ECP, ,EC+B+, ,P, ,8191
45,45,Rh,0.00000015,B+,100, , , , ,8255
45,46,Rh,1.47,EC+B+,100,B+P,1.3, , ,8328
45,47,Rh,4.66,EC+B+,100,B+P,1.9, , ,8373.42
45,48,Rh,12.2,EC+B+,100, , , , ,8434.825
45,49,Rh,70.6,EC+B+,100,ECP,1.8, , ,8472.402
45,50,Rh,301.2,EC+B+,100, , , , ,8525.37
45,51,Rh,594,EC+B+,100, , , , ,8534.673
45,52,Rh,1842,EC+B+,100, , , , ,8559.894
45,53,Rh,523.2,EC+B+,100, , , , ,8560.803
45,54,Rh,1391040,EC+B+,100, , , , ,8580.163
45,55,Rh,74880,EC+B+,100, , , , ,8575.172
45,56,Rh,104137855.716154,EC,100, , , , ,8588.216
45,57,Rh,17910720,EC+B+,78,B-,22, , ,8576.981
45,58,Rh, , , , , , , ,8584.192
45,59,Rh,42.3,B-,99.55,EC+B+,0.45, , ,8568.949
45,60,Rh,127296,B-,100, , , , ,8572.704
45,61,Rh,30.07,B-,100, , , , ,8553.931
45,62,Rh,1302,B-,100, , , , ,8554.103
45,63,Rh,16.8,B-,100, , , , ,8532.67
45,64,Rh,80.8,B-,100, , , , ,8528.142
45,65,Rh,3.35,B-,100, , , , ,8504.254
45,66,Rh,11,B-,100, , , , ,8495.631
45,67,Rh,3.6,B-,100, , , , ,8468.87
45,68,Rh,2.8,B-,100, , , , ,8456.821
45,69,Rh,1.85,B-,100, , , , ,8426.624
45,70,Rh,0.99,B-,100, , , , ,8410.658
45,71,Rh,0.68,B-,100, , , , ,8377.615
45,72,Rh,0.44,B-,100, , , , ,8359.281
45,73,Rh,0.266,B-,100,B-N,3.1, , ,8322.858
45,74,Rh,0.171,B-,100,B-N,6.4, , ,8303.394
45,75,Rh,0.136,B-,100,B-N,5.4,B-2N, ,8268
45,76,Rh,0.151,B-,100,B-N, , , ,8245.239
45,77,Rh,0.0000003,B-2N, ,B-N, ,B-, ,8210
45,78,RH,0.042,B-,100,B-2N, ,B-N, ,8186
45,79,RH,0.03,B-,100,B-2N, ,B-N, ,8149
45,80,RH,0.0265,B-,100,B-2N, ,B-N, ,8126
45,81,RH,0.019,B-,100,B-N, ,B-2N, ,8088
45,82,Rh,0.02,B-,100,B-N, ,B-2N, ,8062
46,44,Pd,0.00000076,EC+B+, ,ECP, , , ,8113
46,46,Pd,1,EC+B+,100, , , , ,8273
46,47,Pd,1,EC+B+,100,ECP, , , ,8319
46,48,Pd,9,EC+B+,100, , , , ,8391.682
46,49,Pd,5,EC+B+,100, , , , ,8428.98
46,50,Pd,122,EC+B+,100, , , , ,8490.02
46,51,Pd,186,EC+B+,100, , , , ,8502.43
46,52,Pd,1062,EC+B+,100, , , , ,8533.899
46,53,Pd,1284,EC+B+,100, , , , ,8537.93
46,54,Pd,313632,EC,100, , , , ,8563.566
46,55,Pd,30492,EC+B+,100, , , , ,8560.864
46,56,Pd, , , , , , , ,8580.29
46,57,Pd,1468022.4,EC,100, , , , ,8571.019
46,58,Pd, , , , , , , ,8584.848
46,59,Pd, , , , , , , ,8570.65
46,60,Pd, , , , , , , ,8579.992
46,61,Pd,205120018834848,B-,100, , , , ,8560.894
46,62,Pd, , , , , , , ,8567.023
46,63,Pd,48924,B-,100, , , , ,8544.882
46,64,Pd, , , , , , , ,8547.162
46,65,Pd,1404,B-,100, , , , ,8521.749
46,66,Pd,75744,B-,100, , , , ,8520.724
46,67,Pd,93,B-,100, , , , ,8492.584
46,68,Pd,145.2,B-,100, , , , ,8488.01
46,69,Pd,25,B-,100, , , , ,8457.738
46,70,Pd,11.8,B-,100, , , , ,8449.28
46,71,Pd,4.3,B-,100, , , , ,8416.929
46,72,Pd,1.9,B-,100, , , , ,8405.222
46,73,Pd,0.92,B-,100, , , , ,8368.964
46,74,Pd,0.492,B-,100,B-N,0.7, , ,8357.085
46,75,PD,0.285,B-,100,B-N,0.8, , ,8320.858
46,76,Pd,0.175,B-,100,B-N,2.5, , ,8305.975
46,77,Pd,0.108,B-,100,B-N, , , ,8270.031
46,78,PD,0.038,B-,100,B-N, , , ,8252
46,79,PD,0.057,B-,100,B-N, , , ,8216
46,80,PD,0.0486,B-N, ,B-, , , ,8197
46,81,PD,0.038,B-,100,B-2N, ,B-N, ,8159
46,82,PD,0.035,B-,100,B-N, , , ,8138
46,83,Pd,0.031,B-,100,B-2N, ,B-N, ,8084
47,46,Ag,0.000000228,ECP, ,EC+B+, ,P, ,8173
47,47,Ag,0.026,EC+B+,100,ECP, , , ,8238
47,48,Ag,1.75,EC+B+,100,ECP, , , ,8312
47,49,Ag,4.4,EC+B+,100,ECP,8.5, , ,8360.29
47,50,Ag,25.5,EC,100, , , , ,8422.405
47,51,Ag,47.5,EC+B+,100,ECP,0.0011, , ,8441.686
47,52,Ag,124,EC+B+,100, , , , ,8474.774
47,53,Ag,120.6,EC+B+,100, , , , ,8484.994
47,54,Ag,666,EC+B+,100, , , , ,8512.546
47,55,Ag,774,EC+B+,100, , , , ,8517.164
47,56,Ag,3942,EC+B+,100, , , , ,8537.651
47,57,Ag,4152,EC+B+,100, , , , ,8536.184
47,58,Ag,3567456,EC+B+,100, , , , ,8550.37
47,59,Ag,1437.6,EC+B+,99.5,B-,1, , ,8544.639
47,60,Ag, , , , , , , ,8553.9
47,61,Ag,142.92,B-,97.15,EC+B+,2.85, , ,8542.025
47,62,Ag, , , , , , , ,8547.915
47,63,Ag,24.56,B-,99.7,EC,0.3, , ,8532.108
47,64,Ag,643680,B-,100, , , , ,8534.787
47,65,Ag,11268,B-,100, , , , ,8516.08
47,66,Ag,19332,B-,100, , , , ,8516.065
47,67,Ag,4.6,B-,100, , , , ,8493.778
47,68,Ag,1200,B-,100, , , , ,8490.555
47,69,Ag,230,B-,100, , , , ,8465.907
47,70,Ag,72.8,B-,100, , , , ,8459.452
47,71,Ag,3.76,B-,100, , , , ,8433.889
47,72,Ag,2.1,B-,100, , , , ,8423.212
47,73,Ag,1.23,B-,100,B-N,0.003, , ,8395.327
47,74,Ag,0.78,B-,100,B-N,0.08, , ,8382.33
47,75,Ag,0.529,B-,99.8,B-N,0.186, , ,8352.758
47,76,Ag,0.298,B-,100,B-N,0.55, , ,8337.803
47,77,Ag,0.191,B-,100,B-N,1.3, , ,8308.655
47,78,Ag,0.159,B-,100,B-N, , , ,8293.314
47,79,Ag,0.052,B-,100,B-N, , , ,8261
47,80,Ag,0.109,B-,100, , , , ,8242
47,81,Ag,0.058,B-,100,B-N, , , ,8211
47,82,Ag,0.046,B-,100,B-N,0, , ,8189
47,83,Ag,0.042,B-,100,B-2N, ,B-N, ,8140
47,84,Ag,0.035,B-,100,B-2N, ,B-N, ,8099
47,85,Ag,0.028,B-,100,B-2N, ,B-N, ,8049
48,46,Cd,0.00000076,EC+B+, ,ECP, , , ,8099
48,48,CD,1.03,EC+B+,100, , , , ,8259
48,49,Cd,2.8,EC,100,ECP, , , ,8307
48,50,Cd,9.2,EC+B+,100,ECP,0.025, , ,8378.295
48,51,Cd,16,EC+B+,100,B+P,0.17,B+A,0.0001,8398.373
48,52,Cd,49.1,EC+B+,100, , , , ,8437.737
48,53,Cd,81.6,EC+B+,100, , , , ,8450.365
48,54,Cd,330,EC+B+,100, , , , ,8484.131
48,55,Cd,438,EC+B+,100, , , , ,8489.754
48,56,Cd,3462,EC+B+,100, , , , ,8517.622
48,57,Cd,3330,EC+B+,100, , , , ,8516.852
48,58,Cd, ,2B+, , , , , ,8539.048
48,59,Cd,23400,EC+B+,100, , , , ,8533.351
48,60,Cd, , , , , , , ,8550.019
48,61,Cd,39908160,EC,100, , , , ,8538.764
48,62,Cd, , , , , , , ,8551.275
48,63,Cd, , , , , , , ,8537.079
48,64,Cd, , , , , , , ,8544.73
48,65,Cd,2.5371768483572E+023,B-,100, , , , ,8526.987
48,66,Cd, ,2B-,100, , , , ,8531.513
48,67,Cd,192456,B-,100, , , , ,8510.724
48,68,Cd,1.04137855716154E+027,2B-, , , , , ,8512.35
48,69,Cd,8964,B-,100, , , , ,8488.973
48,70,Cd,3018,B-,100, , , , ,8487.834
48,71,Cd,161.4,B-,100, , , , ,8461.438
48,72,Cd,50.8,B-,100, , , , ,8458.023
48,73,Cd,13.5,B-,100, , , , ,8430.996
48,74,Cd,5.24,B-,100, , , , ,8424.266
48,75,Cd,2.1,B-,100, , , , ,8395.395
48,76,Cd,1.25,B-,100, , , , ,8387.035
48,77,Cd,0.68,B-,100, , , , ,8357.681
48,78,Cd,0.515,B-,100, , , , ,8346.747
48,79,Cd,0.37,B-,100, , , , ,8316.945
48,80,Cd,0.28,B-,100, , , , ,8303.264
48,81,Cd,0.154,B-,100,B-N,0, , ,8269.034
